,organisation_code,treatment_function_code,effective_snapshot_date,clock_starts
1,RJE,170,30/11/2015,83
2,RJE,170,31/12/2015,75
3,RJE,170,31/01/2016,82
4,RJE,170,29/02/2016,74
5,RJE,170,31/03/2016,62
6,RJE,170,30/04/2016,76
7,RJE,170,31/05/2016,78
8,RJE,170,30/06/2016,75
9,RJE,170,31/07/2016,84
10,RJE,170,31/08/2016,99
11,RJE,170,30/09/2016,73
12,RJE,170,31/10/2016,75
13,RJE,170,30/11/2016,92
14,RJE,170,31/12/2016,80
15,RJE,170,31/01/2017,81
16,RJE,170,28/02/2017,97
17,RJE,170,31/03/2017,113
18,RJE,170,30/04/2017,117
19,RJE,170,31/05/2017,97
20,RJE,170,30/06/2017,114
21,RJE,170,31/07/2017,102
22,RJE,170,31/08/2017,118
23,RJE,170,30/09/2017,129
24,RJE,170,31/10/2017,115
25,RJE,170,30/11/2017,118
26,RJE,170,31/12/2017,71
27,RJE,170,31/01/2018,72
28,RJE,170,28/02/2018,61
29,RJE,170,31/03/2018,91
30,RJE,170,30/04/2018,78
31,RJE,170,31/05/2018,72
32,RJE,170,30/06/2018,87
33,RJE,170,31/07/2018,71
34,RJE,170,31/08/2018,98
35,RJE,170,30/09/2018,60
36,RJE,170,31/10/2018,62
37,RJE,170,30/11/2018,57
38,RJE,170,31/12/2018,38
39,RJE,170,31/01/2019,48
40,RJE,170,28/02/2019,37
41,RJE,170,31/03/2019,37
42,RJE,170,30/04/2019,62
43,RJE,170,31/05/2019,54
44,RJE,170,30/06/2019,49
45,RJE,170,31/07/2019,61
46,RJE,170,31/08/2019,44
47,RJE,170,30/09/2019,54
48,RJE,170,31/10/2019,85
49,RJE,170,30/11/2019,56
50,RJE,170,31/12/2019,34
51,RJE,170,31/01/2020,66
52,RJE,170,29/02/2020,49
53,RJE,170,31/03/2020,33
54,RJE,170,30/04/2020,13
55,RJE,170,31/05/2020,12
56,RJE,170,30/06/2020,24
57,RJE,170,31/07/2020,29
58,RJE,170,31/08/2020,42
59,RJE,170,30/09/2020,39
60,RJE,170,31/10/2020,63
61,RJE,170,30/11/2020,65
62,RJE,170,31/12/2020,55
63,RJE,170,31/01/2021,39
64,RJE,170,28/02/2021,32
65,RJE,170,31/03/2021,55
66,RJE,170,30/04/2021,53
67,RJE,170,31/05/2021,47
68,RJE,170,30/06/2021,49
69,RJE,170,31/07/2021,43
70,RJE,170,31/08/2021,34
71,RJE,170,30/09/2021,41
72,RJE,170,31/10/2021,55
73,RJE,170,30/11/2021,60
74,RJE,170,31/12/2021,43
75,RJE,170,31/01/2022,48
76,RJE,170,28/02/2022,56
77,RJE,170,31/03/2022,61
78,RJE,170,30/04/2022,43
79,RJE,170,31/05/2022,53
80,RJE,170,30/06/2022,40
81,RJE,170,31/07/2022,63
82,RJE,170,31/08/2022,46
83,RJE,170,30/09/2022,61
84,RJE,170,31/10/2022,44
85,RJE,170,30/11/2022,45
86,RJE,170,31/12/2022,49
87,RJE,170,31/01/2023,81
88,RJE,170,28/02/2023,71
89,RJE,170,31/03/2023,64
90,RJE,170,30/04/2023,67
91,RJE,170,31/05/2023,73
92,RKB,170,30/11/2015,94
93,RKB,170,31/12/2015,69
94,RKB,170,31/01/2016,74
95,RKB,170,29/02/2016,64
96,RKB,170,31/03/2016,79
